objectid,id,island,volcano,line_code,description,relation,name,source,st_lengthshape
1150,1150,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",464.770543149461
1151,1151,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",930.090021253897
1152,1152,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",220.291467914675
1153,1153,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",2801.70811996304
1154,1154,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",173.666355571367
1155,1155,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",3116.91151665192
1156,1156,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",2912.58430319155
1157,1157,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1996.04927479644
1158,1158,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1635.13190033427
1159,1159,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",804.223483220114
1160,1160,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1703.84609151943
1161,1161,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",286.701822997911
1162,1162,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",712.703329415926
1163,1163,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",232.446320965875
1164,1164,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",358.026491002546
1165,1165,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",780.981903334353
1166,1166,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",4771.69202402446
1167,1167,Hawaii,kila,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",2833.32136492441
1168,1168,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",760.456331698737
1169,1169,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",1396.87116103092
1170,1170,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",37.1412602914808
1171,1171,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",250.286895060686
1172,1172,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",937.14407543969
1173,1173,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",272.978092465374
1174,1174,Hawaii,kila,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",946.54035119362
1175,1175,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",79.2706139956263
1176,1176,Hawaii,kila,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",2172.21414634065
1177,1177,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",639.795762507482
1178,1178,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",513.07512221295
1179,1179,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",675.250074587257
1180,1180,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1399.92198267845
1181,1181,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",3060.56838768815
1182,1182,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",696.795723928523
1183,1183,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",5404.42660548904
1184,1184,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",2788.44089868548
1185,1185,Hawaii,koha,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1844.99145469457
1186,1186,Hawaii,koha,22,Normal fault approximately located,,,"Wolfe and Morris, 1996a",612.012564542899
1187,1187,Hawaii,koha,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",442.453557088456
1188,1188,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",1329.76544372657
1189,1189,Hawaii,mloa,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",2404.7964286097
1190,1190,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",515.861832428974
1191,1191,Hawaii,kila,24,Normal fault concealed,,,"Wolfe and Morris, 1996a",565.629274596521
1192,1192,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",686.402158022436
1193,1193,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",304.062529041882
1194,1194,Hawaii,kila,21,Normal fault well-located,,,"Wolfe and Morris, 1996a",1158.67232668294
1195,1195,Kahoolawe,khoo,22,Normal fault approximately located,,,"Stearns, 1940c",281.386080661059
1196,1196,Kahoolawe,khoo,22,Normal fault approximately located,,,"Stearns, 1940c",186.721379060689
