_id,COUNTY,UNIQUE_ID,LOCATION,DECIBEL,Location 1
178,HONOLULU,OA426A,Laie Shopping Center,121,"(21.647, -157.922)"
179,HONOLULU,OA204,Waimea Bay South,121,"(21.633, -158.068)"
180,MAUI,MA506,"Kainalu, Mol",121,"(21.088, -156.771)"
181,KAUAI,KA207,Kapaa Town,115,"(22.08, -159.314)"
182,MAUI,MA303,Wailua Valley,121,"(20.848, -156.135)"
183,HONOLULU,OA100,Sandy Beach,126,"(21.288, -157.673)"
184,MAUI,MA410,Puamana,124,"(20.857, -156.664)"
185,KAUAI,KA603,Makaweli (Pakala),115,"(21.933, -159.646)"
186,HONOLULU,OA124,Alewa Heights,126,"(21.344, -157.846)"
187,HONOLULU,OA310A,Ewa El Sch,124,"(21.345, -158.033)"
188,KAUAI,KA201,Anahola,115,"(22.144, -159.305)"
189,HONOLULU,OA136,Salt Lake Dist Pk,128,"(21.352, -157.91)"
190,KAUAI,KA109,Anini Pavilion,115,"(22.223, -159.446)"
191,HAWAII,HA109,Papaikou,119,"(19.787, -155.096)"
192,HONOLULU,OA211,Dillingham Afld,115,"(21.58, -158.196)"
193,HONOLULU,OA411A,Kapunahala Playground,115,"(21.407, -157.803)"
194,HAWAII,HA609,Old Kona Airport,121,"(19.643, -156.008)"
195,KAUAI,KA315,Puhi,121,"(21.967, -159.394)"
196,HONOLULU,OA401,Waimanalo Beach Park/St Pk,115,"(21.331, -157.694)"
197,HONOLULU,OA309,Waipahu HS,121,"(21.389, -157.994)"
198,HONOLULU,OA115,Dole St,126,"(21.296, -157.821)"
199,KAUAI,KA509,Kukuiula,115,"(21.884, -159.486)"
200,HONOLULU,OA416,Ahuimanu STP,121,"(21.443, -157.832)"
201,MAUI,MA123,Eddie Tam Mem Ctr,115,"(20.848, -156.316)"
202,HONOLULU,OA118A,Ala Wai Yacht Harbor,121,"(21.282, -157.84)"
203,KAUAI,KA301,Lydgate,124,"(22.038, -159.336)"
204,HAWAII,HA914,Nanawale,115,"(19.494, -154.914)"
205,HONOLULU,OA207,HaleiwaTown,121,"(21.584, -158.103)"
206,HONOLULU,OA215,Wahiawa Heights,121,"(21.509, -157.995)"
207,MAUI,MA201,Lanai City,119,"(20.823, -156.917)"
208,HONOLULU,OA107,Waialae Beach Park,126,"(21.27, -157.777)"
209,KAUAI,KA515,Numila,119,"(21.899, -159.559)"
210,HONOLULU,OA422,Punaluu Beach Park,126,"(21.577, -157.883)"
211,MAUI,MA113,"Kamaole Pk, Kihei",115,"(20.719, -156.446)"
212,HONOLULU,OA312,PTWC,121,"(21.314, -157.998)"
213,HONOLULU,OA128,Pier 39,126,"(21.32, -157.878)"
214,HONOLULU,OA403,Hawaii Youth Corr. Fac.,115,"(21.376, -157.748)"
215,MAUI,MA118,Waihee Ballpark,115,"(20.93, -156.509)"
216,HONOLULU,OA331,Kapolei Golf Crs,121,"(21.349, -158.064)"
217,HONOLULU,OA131,Sand Island Park,126,"(21.303, -157.871)"
218,HAWAII,HA105,Kawailani Street,119,"(19.683, -155.078)"
219,HONOLULU,OA306A,Pearl City High School,121,"(21.415, -157.955)"
220,HONOLULU,OA208,Waialua,119,"(21.576, -158.123)"
221,KAUAI,KA114,Moloaa,121,"(22.187, -159.336)"
222,MAUI,MA405,Kahana,124,"(20.977, -156.674)"
223,HAWAII,HA605,Pahoehoe Beach Park,115,"(19.592, -155.97)"
224,MAUI,MA306,Hana High School,119,"(20.776, -156.001)"
